Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet [CoCA],Cost of a nutrient adequate diet [CoNA],Cost of a healthy diet [CoHD],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost of fruits [CoHD_f],Cost of vegetables [CoHD_v],Cost of starchy staples [CoHD_ss],Cost of animal-source foods [CoHD_asf],"Cost of legumes, nuts and seeds [CoHD_lns]",Cost of oils and fats [CoHD_of],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2017,YR2017,0.767,1.851,2.846,3.71,0.569,0.515,0.432,0.935,0.216,0.179,0.2,0.181,0.152,0.329,0.076,0.063,1.32,1.19,2.16,0.5,0.41,0.685,1.653,2.541,0.213,0.514,0.79,11.6,57,77.4,5.7,27.9,37.9,48948137
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2018,YR2018,..,..,2.823,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.521,..,..,..,..,..,74.5,..,..,37.2,49953304
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2019,YR2019,..,..,2.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.596,..,..,..,..,..,73.7,..,..,37.6,50951450
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2020,YR2020,..,..,2.968,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.65,..,..,..,..,..,74.5,..,..,38.7,51985780
Food Prices for Nutrition 2.0,FPN 2.0,Kenya,KEN,2021,YR2021,..,..,3.189,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.847,..,..,..,..,..,74,..,..,39.2,53005614
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2017,YR2017,0.669,4.242,4.712,7.04,1.331,1.265,0.485,1.188,0.365,0.078,0.282,0.268,0.103,0.252,0.077,0.017,2.74,2.61,2.45,0.75,0.16,0.597,3.788,4.207,0.129,0.817,0.908,0,1.5,2.2,0,0.8,1.2,51361911
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2018,YR2018,..,..,4.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.375,..,..,..,..,..,2,..,..,1,51585058
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2019,YR2019,..,..,4.831,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.313,..,..,..,..,..,1.7,..,..,0.9,51764822
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2020,YR2020,..,..,5.111,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.563,..,..,..,..,..,2.2,..,..,1.2,51836239
Food Prices for Nutrition 2.0,FPN 2.0,"Korea, Rep.",KOR,2021,YR2021,..,..,5.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.768,..,..,..,..,..,1.5,..,..,0.8,51744876
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2017,YR2017,0.341,1.791,3.344,9.81,0.64,0.924,0.253,1.024,0.333,0.169,0.191,0.276,0.076,0.306,0.1,0.051,2.53,3.65,4.05,1.32,0.67,0.304,1.599,2.986,0.054,0.282,0.526,..,..,..,..,..,..,4124904
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2018,YR2018,..,..,3.407,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.042,..,..,..,..,..,..,..,..,..,4317185
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2019,YR2019,..,..,3.468,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.096,..,..,..,..,..,..,..,..,..,4441100
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2020,YR2020,..,..,3.606,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.22,..,..,..,..,..,..,..,..,..,4360444
Food Prices for Nutrition 2.0,FPN 2.0,Kuwait,KWT,2021,YR2021,..,..,3.997,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.569,..,..,..,..,..,..,..,..,..,4250114
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2017,YR2017,0.965,2.459,2.97,3.08,0.466,0.445,0.529,0.796,0.562,0.172,0.157,0.15,0.178,0.268,0.189,0.058,0.88,0.84,1.5,1.06,0.33,0.862,2.196,2.652,0.22,0.56,0.676,0.7,38.9,56.3,0,2.4,3.5,6198200
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2018,YR2018,..,..,2.931,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.617,..,..,..,..,..,47.2,..,..,3,6322800
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2019,YR2019,..,..,2.991,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.671,..,..,..,..,..,45,..,..,2.9,6456200
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2020,YR2020,..,..,3.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.839,..,..,..,..,..,55.3,..,..,3.6,6579900
Food Prices for Nutrition 2.0,FPN 2.0,Kyrgyz Republic,KGZ,2021,YR2021,..,..,3.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.134,..,..,..,..,..,58.2,..,..,3.9,6691800
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2017,YR2017,0.724,2.901,3.776,5.22,0.736,0.892,0.478,1.105,0.394,0.172,0.195,0.236,0.127,0.293,0.104,0.046,1.54,1.87,2.31,0.82,0.36,0.646,2.59,3.371,0.171,0.687,0.894,0.8,61.1,75.3,0.1,4.3,5.3,6997917
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2018,YR2018,..,..,3.838,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.427,..,..,..,..,..,73.6,..,..,5.2,7105006
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2019,YR2019,..,..,3.959,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.535,..,..,..,..,..,72.7,..,..,5.2,7212053
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2020,YR2020,..,..,4.141,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.697,..,..,..,..,..,74.7,..,..,5.5,7319399
Food Prices for Nutrition 2.0,FPN 2.0,Lao PDR,LAO,2021,YR2021,..,..,4.305,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.844,..,..,..,..,..,74,..,..,5.5,7425057
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2017,YR2017,1.09,3.056,3.619,1.1842277486911,0.658,0.885,0.615,0.882,0.427,0.153,0.182,0.245,0.17,0.244,0.118,0.042,1.07,1.44,1.43,0.69,0.25,0.973,2.729,3.231,0.225,0.617,0.721,3,17.9,22,17.2,100.9,124.4,572342871
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2018,YR2018,..,..,3.693,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.297,..,..,..,..,..,20.9,..,..,119.3,572237142
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2019,YR2019,..,..,3.775,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.37,..,..,..,..,..,20.7,..,..,119.7,578509517
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2020,YR2020,..,..,3.876,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.461,..,..,..,..,..,20.9,..,..,121.8,583891678
Food Prices for Nutrition 2.0,FPN 2.0,Latin America & Caribbean,LCN,2021,YR2021,..,..,4.081,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.643,..,..,..,..,..,22.7,..,..,133.3,588418945
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2017,YR2017,0.442,2.029,3.124,7.07,0.648,0.921,0.335,0.794,0.314,0.111,0.207,0.295,0.107,0.254,0.101,0.036,1.93,2.75,2.37,0.94,0.33,0.395,1.812,2.789,0.06,0.278,0.428,0.2,1.7,3.4,0,0,0.1,1942248
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2018,YR2018,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.795,..,..,..,..,..,2.4,..,..,0,1927174
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2019,YR2019,..,..,3.245,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.897,..,..,..,..,..,1.9,..,..,0,1913822
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2020,YR2020,..,..,3.269,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.919,..,..,..,..,..,1.9,..,..,0,1900449
Food Prices for Nutrition 2.0,FPN 2.0,Latvia,LVA,2021,YR2021,..,..,3.254,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.905,..,..,..,..,..,1.5,..,..,0,1884490
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2017,YR2017,0.608,2.306,3.77,6.2,0.838,0.788,0.462,1.172,0.362,0.148,0.222,0.209,0.123,0.311,0.096,0.039,1.81,1.71,2.54,0.78,0.32,0.543,2.059,3.366,0.236,0.895,1.463,10.7,63.3,83.2,0.2,1.4,1.8,2170617
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2018,YR2018,..,..,3.878,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.463,..,..,..,..,..,83.4,..,..,1.8,2198017
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2019,YR2019,..,..,4.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.58,..,..,..,..,..,83.8,..,..,1.9,2225702
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2020,YR2020,..,..,4.266,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.809,..,..,..,..,..,87,..,..,2,2254100
Food Prices for Nutrition 2.0,FPN 2.0,Lesotho,LSO,2021,YR2021,..,..,4.618,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.123,..,..,..,..,..,87.9,..,..,2,2281454
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2017,YR2017,0.971,2.982,4.018,4.14,0.901,0.84,1.27,0.685,0.229,0.092,0.224,0.209,0.316,0.17,0.057,0.023,0.71,0.66,0.54,0.18,0.07,0.867,2.663,3.588,1.274,3.913,5.272,20.2,82.7,91.8,1,4,4.4,4796631
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2018,YR2018,..,..,4.03160712053957,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.6,..,..,..,..,..,91.6,..,..,4.5,4889391
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2019,YR2019,..,..,3.852,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.439,..,..,..,..,..,91.4,..,..,4.6,4985289
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2020,YR2020,..,..,3.907,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.488,..,..,..,..,..,91.6,..,..,4.7,5087584
Food Prices for Nutrition 2.0,FPN 2.0,Liberia,LBR,2021,YR2021,..,..,4.447,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.971,..,..,..,..,..,92.8,..,..,4.8,5193416
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2017,YR2017,0.505,1.969,3.003,5.95,0.67,0.834,0.368,0.702,0.343,0.086,0.223,0.278,0.123,0.234,0.114,0.029,1.82,2.27,1.91,0.93,0.23,0.451,1.758,2.681,0.044,0.173,0.263,0.8,1.6,3.3,0,0,0.1,2828403
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2018,YR2018,..,..,3.042,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.716,..,..,..,..,..,2.3,..,..,0.1,2801543
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2019,YR2019,..,..,3.148,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.811,..,..,..,..,..,1.2,..,..,0,2794137
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2020,YR2020,..,..,3.132,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.796,..,..,..,..,..,1.1,..,..,0,2794885
Food Prices for Nutrition 2.0,FPN 2.0,Lithuania,LTU,2021,YR2021,..,..,3.108,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.775,..,..,..,..,..,0.7,..,..,0,2800839
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2017,YR2017,0.856,2.054,3.084,1.5014605647517,0.489,0.755,0.547,0.939,0.194,0.159,0.159,0.245,0.177,0.304,0.063,0.052,0.89,1.38,1.72,0.35,0.29,0.765,1.834,2.753,0.548,1.344,2.022,20.7,73.2,88.8,102.6,363.6,440.9,504388820
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2018,YR2018,..,..,3.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.777,..,..,..,..,..,87.5,..,..,447.6,511509198
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2019,YR2019,..,..,3.138,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.801,..,..,..,..,..,86.7,..,..,456.8,526672708
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2020,YR2020,..,..,3.217,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.872,..,..,..,..,..,86.9,..,..,471,542148509
Food Prices for Nutrition 2.0,FPN 2.0,Low income,LIC,2021,YR2021,..,..,3.369,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.008,..,..,..,..,..,86.1,..,..,480,557798699
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2017,YR2017,0.921,2.467,3.397,1.37697608431293,0.649,0.75,0.519,0.984,0.321,0.155,0.191,0.221,0.153,0.29,0.094,0.046,1.25,1.45,1.9,0.62,0.3,0.823,2.203,3.033,0.248,0.672,0.937,6.8,52.7,72.3,210.8,1637.5,2246.4,3130516509
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2018,YR2018,..,..,3.478,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.106,..,..,..,..,..,69.3,..,..,2184.3,3167642141
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2019,YR2019,..,..,3.549,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.169,..,..,..,..,..,68.3,..,..,2180.7,3210833968
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2020,YR2020,..,..,3.652,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.261,..,..,..,..,..,71,..,..,2296.8,3253486207
Food Prices for Nutrition 2.0,FPN 2.0,Lower middle income,LMC,2021,YR2021,..,..,3.879,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.463,..,..,..,..,..,70.2,..,..,2299.6,3293993013
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2017,YR2017,0.335,2.038,2.492,7.44,0.762,0.53,0.208,0.656,0.28,0.056,0.306,0.213,0.083,0.263,0.112,0.022,3.66,2.55,3.15,1.35,0.27,0.299,1.82,2.225,0.04,0.244,0.298,0.1,0.4,0.4,0,0,0,596336
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2018,YR2018,..,..,2.627,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.346,..,..,..,..,..,0.4,..,..,0,607950
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2019,YR2019,..,..,2.619,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.338,..,..,..,..,..,0.1,..,..,0,620001
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2020,YR2020,..,..,2.576,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.3,..,..,..,..,..,0,..,..,0,630419
Food Prices for Nutrition 2.0,FPN 2.0,Luxembourg,LUX,2021,YR2021,..,..,2.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.313,..,..,..,..,..,0,..,..,0,640064
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2017,YR2017,1.079,2.589,2.987,2.77,0.563,0.324,0.555,1.02,0.328,0.197,0.188,0.108,0.186,0.341,0.11,0.066,1.01,0.58,1.84,0.59,0.35,0.963,2.312,2.667,0.588,1.41,1.627,78.3,96,97.1,20.5,25.1,25.4,26169542
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2018,YR2018,..,..,3.122,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.788,..,..,..,..,..,97.3,..,..,26.1,26846541
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2019,YR2019,..,..,3.154,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.816,..,..,..,..,..,97.1,..,..,26.7,27533134
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2020,YR2020,..,..,3.181,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.84,..,..,..,..,..,97.8,..,..,27.6,28225177
Food Prices for Nutrition 2.0,FPN 2.0,Madagascar,MDG,2021,YR2021,..,..,3.382,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.02,..,..,..,..,..,97.8,..,..,28.3,28915653
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2017,YR2017,0.285,1.616,2.724,9.56,0.396,0.61,0.328,1.085,0.13,0.176,0.145,0.224,0.12,0.398,0.048,0.065,1.21,1.86,3.31,0.4,0.54,0.254,1.443,2.432,0.219,1.243,2.095,2.4,83.2,94.5,0.4,14.9,16.9,17881167
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2018,YR2018,..,..,2.809,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.508,..,..,..,..,..,94.9,..,..,17.4,18367883
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2019,YR2019,..,..,2.989,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.669,..,..,..,..,..,95.4,..,..,18,18867337
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2020,YR2020,..,..,3.149,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.812,..,..,..,..,..,95.8,..,..,18.6,19377061
Food Prices for Nutrition 2.0,FPN 2.0,Malawi,MWI,2021,YR2021,..,..,3.365,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.004,..,..,..,..,..,95.9,..,..,19.1,19889742
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2017,YR2017,0.909,2.384,3.224,3.55,0.929,0.648,0.456,0.83,0.294,0.067,0.288,0.201,0.141,0.257,0.091,0.021,2.04,1.42,1.82,0.64,0.15,0.812,2.129,2.879,0.104,0.274,0.371,0,0.9,3,0,0.3,1,31975806
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2018,YR2018,..,..,3.319,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.963,..,..,..,..,..,2.5,..,..,0.8,32399271
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2019,YR2019,..,..,3.412,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.046,..,..,..,..,..,2.1,..,..,0.7,32804020
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2020,YR2020,..,..,3.538,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.159,..,..,..,..,..,2.8,..,..,0.9,33199993
Food Prices for Nutrition 2.0,FPN 2.0,Malaysia,MYS,2021,YR2021,..,..,3.679,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.285,..,..,..,..,..,2.5,..,..,0.8,33573874
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2017,YR2017,0.423,2.686,3.581,8.47,0.861,1.067,0.239,0.906,0.409,0.099,0.24,0.298,0.067,0.253,0.114,0.028,3.6,4.46,3.79,1.71,0.41,0.378,2.398,3.197,0.145,0.919,1.225,0,0.6,3.4,0,0,0,472442
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2018,YR2018,..,..,3.634,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.245,..,..,..,..,..,2,..,..,0,489758
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2019,YR2019,..,..,3.662,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.27,..,..,..,..,..,1.1,..,..,0,504508
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2020,YR2020,..,..,3.861,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.447,..,..,..,..,..,5.3,..,..,0,514438
Food Prices for Nutrition 2.0,FPN 2.0,Maldives,MDV,2021,YR2021,..,..,4.095,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.656,..,..,..,..,..,1.2,..,..,0,521457
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2017,YR2017,0.6,1.985,2.9,4.83,0.543,0.648,0.43,1.003,0.134,0.143,0.187,0.223,0.148,0.346,0.046,0.049,1.26,1.51,2.33,0.31,0.33,0.536,1.772,2.589,0.233,0.77,1.126,1.9,57.5,77.3,0.4,11.1,14.9,19311355
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2018,YR2018,..,..,3.035,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.71,..,..,..,..,..,74.5,..,..,14.9,19934298
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2019,YR2019,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.643,..,..,..,..,..,69.7,..,..,14.3,20567424
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2020,YR2020,..,..,3.053,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.726,..,..,..,..,..,71.4,..,..,15.2,21224040
Food Prices for Nutrition 2.0,FPN 2.0,Mali,MLI,2021,YR2021,..,..,3.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.884,..,..,..,..,..,72,..,..,15.8,21904983
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2017,YR2017,0.741,2.647,3.494,4.72,0.931,0.73,0.508,0.795,0.45,0.08,0.266,0.209,0.145,0.228,0.129,0.023,1.83,1.44,1.56,0.89,0.16,0.662,2.363,3.12,0.109,0.388,0.512,0.1,0.3,0.3,0,0,0,467999
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2018,YR2018,..,..,3.645,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.254,..,..,..,..,..,0.3,..,..,0,484630
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2019,YR2019,..,..,3.866,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.452,..,..,..,..,..,0.7,..,..,0,504062
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2020,YR2020,..,..,3.824,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.414,..,..,..,..,..,0.8,..,..,0,515332
Food Prices for Nutrition 2.0,FPN 2.0,Malta,MLT,2021,YR2021,..,..,3.917,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.497,..,..,..,..,..,0.8,..,..,0,518536
Food Prices for Nutrition 2.0,FPN 2.0,Mauritania,MRT,2017,YR2017,0.877,2.814,3.451,3.94,0.804,0.87,0.463,0.96,0.194,0.16,0.233,0.252,0.134,0.278,0.056,0.046,1.74,1.88,2.07,0.42,0.35,0.783,2.513,3.081,0.263,0.845,1.036,2.7,48.3,61.7,0.1,2,2.6,4160015
Food Prices for Nutrition 2.0,FPN 2.0,Mauritania,MRT,2018,YR2018,..,..,3.574,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.191,..,..,..,..,..,61.1,..,..,2.6,4270712
Food Prices for Nutrition 2.0,FPN 2.0,Mauritania,MRT,2019,YR2019,..,..,3.6541,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.263,..,..,..,..,..,59.7,..,..,2.6,4383849
Food Prices for Nutrition 2.0,FPN 2.0,Mauritania,MRT,2020,YR2020,..,..,3.6921,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.297,..,..,..,..,..,60.9,..,..,2.7,4498604
